Codigo;Descricao;Unidade
602122;UNIDADETERMINALUP2020LITEL8EXTB;PEÇ
640612;ELETRODUTOPVC,SOLD,20MM,DDT1740I1R7;PEÇ
760383;Suporteparaiçamentodetransformador,;PEÇ
760478;ROLDANAPARALANÇAMENTODECABOMULTPLEX;PEÇ
760499;Suportetemporárioparacondutor15kV;PEÇ
780574;PARAF.C.REDONDA3/16X1/2PC/ARRUELA;PEÇ
780580;PARAF.FENDA,CAB.PLANA5,0X50MMP/BUCHAS8;PEÇ
780607;PARAFUSO,CBSEXT,INOX,12X125,COMP,D41019;UN
780653;PARAFUSO,CABQUAD,AZ,16X200,D41010;UN
780654;PARAFUSO,CABQUAD,AZ,16X250,D41010;UN
780655;PARAFUSO,CABQUAD,AZ,16X300,D41010;UN
780659;PARAFUSO,CABQUAD,AZ,16X50,D41010;PEÇ
780710;ARRUELA,QUADRADA,AZ,50X3X18MM,D41003;UN
780720;ARRUELA,REDONDA,AZ,32.43X3X18MM,D41001;PEÇ
780742;CINTA,P/POSTECIRC,230MM,D435.07;PEÇ
780743;CINTA,P/POSTECIRC,250MM,D435.07;PEÇ
780744;CINTA,P/POSTECIRC,270MM,D435.07;PEÇ
780745;CINTA,P/POSTECIRC,290MM,D435.07;PEÇ
780749;PINOCURTO,ISOL,AZ,190X36X36MM,D51202;PEÇ
780750;PARAF,CABABAUL,LIGAAL,M16X45,D90415;PEÇ
780751;PARAF,CABABAUL,LIGAAL,M16X70,D90415;PEÇ
780752;PARAF,CABABAUL,LIGAAL,M16X150,D90415;PEÇ
780753;PARAFUSO,CABABAUL,AZ,16X45,D41015;PEÇ
780754;PARAFUSO,CABABAUL,AZ,16X70,D41015;PEÇ
780755;PARAFUSO,CABABAUL,AZ,16X150,D41015;PEÇ
780758;PARAFUSO,CABQUAD,AZ,16X125,D41010;PEÇ
780759;PARAFUSO,CABQUAD,AZ,16X150,D41010;PEÇ
780760;PARAFUSO,CABQUAD,AL,M16X125,PM-BR904.10;PEÇ
780764;PARAF.CAB.QUA350X270X16MMDED0045I7R4FP;PEÇ
780767;PARAFUSO,CABQUAD,AL,M16X150,PM-BR904.10;PEÇ
780768;PINO,ISOL,AZ,CRUZETA,294X140X60MM,D51202;PEÇ
780769;PARAFUSO,CABQUAD,AL,M16X200,D1261,FP;PEÇ
780770;PARAFUSO,CABQUAD,AL,M16X250,D1261,FP;PEÇ
780771;PORCADEAÇOCARBONO,DED-0047R.4,FP;PEÇ
780773;PARAFUSO,CABQUAD,AL,M16X350,PM-BR904.10;PEÇ
780774;PARAFUSO,CABQUAD,AL,M16X400,D1261,FP;PEÇ
780775;PARAFUSO,CABEÇAQUAD.LIGAAL450X370X1;PEÇ
780779;PARAFUSO,ROSCADUP,AZ,16X400,R175,D41028;PEÇ
780780;PARAFUSO,ROSCADUP,AZ,16X450,R200,D41028;PEÇ
